DateKey,Date,Year,CurrYearOffset,YearCompleted,Quarter Number,Quarter,Month Number of Year,Month Name,Week Number,Week & Year,WeeknYear,CurrWeekOffset,WeekCompleted,Day of Week Number,Day of Week Name,Day of Week Initial,Day Type,Fiscal Year,Fiscal Quarter
20190701,2019-07-01 00:00:00.000,2019,-4,True,3,"Q3",7,"July",27,"W27 2019",201927,-201,True,0,"Monday","M","Weekday","FY2020","FQ1 2020"
20190702,2019-07-02 00:00:00.000,2019,-4,True,3,"Q3",7,"July",27,"W27 2019",201927,-201,True,1,"Tuesday","T​","Weekday","FY2020","FQ1 2020"
20190703,2019-07-03 00:00:00.000,2019,-4,True,3,"Q3",7,"July",27,"W27 2019",201927,-201,True,2,"Wednesday","W​​","Weekday","FY2020","FQ1 2020"
20190704,2019-07-04 00:00:00.000,2019,-4,True,3,"Q3",7,"July",27,"W27 2019",201927,-201,True,3,"Thursday","T​​​","Weekday","FY2020","FQ1 2020"
20190705,2019-07-05 00:00:00.000,2019,-4,True,3,"Q3",7,"July",27,"W27 2019",201927,-201,True,4,"Friday","F​​​​","Weekday","FY2020","FQ1 2020"
20190708,2019-07-08 00:00:00.000,2019,-4,True,3,"Q3",7,"July",28,"W28 2019",201928,-200,True,0,"Monday","M","Weekday","FY2020","FQ1 2020"
20190709,2019-07-09 00:00:00.000,2019,-4,True,3,"Q3",7,"July",28,"W28 2019",201928,-200,True,1,"Tuesday","T​","Weekday","FY2020","FQ1 2020"
20190710,2019-07-10 00:00:00.000,2019,-4,True,3,"Q3",7,"July",28,"W28 2019",201928,-200,True,2,"Wednesday","W​​","Weekday","FY2020","FQ1 2020"
20190711,2019-07-11 00:00:00.000,2019,-4,True,3,"Q3",7,"July",28,"W28 2019",201928,-200,True,3,"Thursday","T​​​","Weekday","FY2020","FQ1 2020"
20190712,2019-07-12 00:00:00.000,2019,-4,True,3,"Q3",7,"July",28,"W28 2019",201928,-200,True,4,"Friday","F​​​​","Weekday","FY2020","FQ1 2020"
20190715,2019-07-15 00:00:00.000,2019,-4,True,3,"Q3",7,"July",29,"W29 2019",201929,-199,True,0,"Monday","M","Weekday","FY2020","FQ1 2020"
20190716,2019-07-16 00:00:00.000,2019,-4,True,3,"Q3",7,"July",29,"W29 2019",201929,-199,True,1,"Tuesday","T​","Weekday","FY2020","FQ1 2020"
20190717,2019-07-17 00:00:00.000,2019,-4,True,3,"Q3",7,"July",29,"W29 2019",201929,-199,True,2,"Wednesday","W​​","Weekday","FY2020","FQ1 2020"
20190718,2019-07-18 00:00:00.000,2019,-4,True,3,"Q3",7,"July",29,"W29 2019",201929,-199,True,3,"Thursday","T​​​","Weekday","FY2020","FQ1 2020"
20190719,2019-07-19 00:00:00.000,2019,-4,True,3,"Q3",7,"July",29,"W29 2019",201929,-199,True,4,"Friday","F​​​​","Weekday","FY2020","FQ1 2020"
20190722,2019-07-22 00:00:00.000,2019,-4,True,3,"Q3",7,"July",30,"W30 2019",201930,-198,True,0,"Monday","M","Weekday","FY2020","FQ1 2020"
20190723,2019-07-23 00:00:00.000,2019,-4,True,3,"Q3",7,"July",30,"W30 2019",201930,-198,True,1,"Tuesday","T​","Weekday","FY2020","FQ1 2020"
20190724,2019-07-24 00:00:00.000,2019,-4,True,3,"Q3",7,"July",30,"W30 2019",201930,-198,True,2,"Wednesday","W​​","Weekday","FY2020","FQ1 2020"
20190725,2019-07-25 00:00:00.000,2019,-4,True,3,"Q3",7,"July",30,"W30 2019",201930,-198,True,3,"Thursday","T​​​","Weekday","FY2020","FQ1 2020"
20190726,2019-07-26 00:00:00.000,2019,-4,True,3,"Q3",7,"July",30,"W30 2019",201930,-198,True,4,"Friday","F​​​​","Weekday","FY2020","FQ1 2020"
20190729,2019-07-29 00:00:00.000,2019,-4,True,3,"Q3",7,"July",31,"W31 2019",201931,-197,True,0,"Monday","M","Weekday","FY2020","FQ1 2020"
20190730,2019-07-30 00:00:00.000,2019,-4,True,3,"Q3",7,"July",31,"W31 2019",201931,-197,True,1,"Tuesday","T​","Weekday","FY2020","FQ1 2020"
20190731,2019-07-31 00:00:00.000,2019,-4,True,3,"Q3",7,"July",31,"W31 2019",201931,-197,True,2,"Wednesday","W​​","Weekday","FY2020","FQ1 2020"
20190801,2019-08-01 00:00:00.000,2019,-4,True,3,"Q3",8,"August",31,"W31 2019",201931,-197,True,3,"Thursday","T​​​","Weekday","FY2020","FQ1 2020"
20190802,2019-08-02 00:00:00.000,2019,-4,True,3,"Q3",8,"August",31,"W31 2019",201931,-197,True,4,"Friday","F​​​​","Weekday","FY2020","FQ1 2020"
20190805,2019-08-05 00:00:00.000,2019,-4,True,3,"Q3",8,"August",32,"W32 2019",201932,-196,True,0,"Monday","M","Weekday","FY2020","FQ1 2020"
20190806,2019-08-06 00:00:00.000,2019,-4,True,3,"Q3",8,"August",32,"W32 2019",201932,-196,True,1,"Tuesday","T​","Weekday","FY2020","FQ1 2020"
20190807,2019-08-07 00:00:00.000,2019,-4,True,3,"Q3",8,"August",32,"W32 2019",201932,-196,True,2,"Wednesday","W​​","Weekday","FY2020","FQ1 2020"
20190808,2019-08-08 00:00:00.000,2019,-4,True,3,"Q3",8,"August",32,"W32 2019",201932,-196,True,3,"Thursday","T​​​","Weekday","FY2020","FQ1 2020"
20190809,2019-08-09 00:00:00.000,2019,-4,True,3,"Q3",8,"August",32,"W32 2019",201932,-196,True,4,"Friday","F​​​​","Weekday","FY2020","FQ1 2020"
20190812,2019-08-12 00:00:00.000,2019,-4,True,3,"Q3",8,"August",33,"W33 2019",201933,-195,True,0,"Monday","M","Weekday","FY2020","FQ1 2020"
20190813,2019-08-13 00:00:00.000,2019,-4,True,3,"Q3",8,"August",33,"W33 2019",201933,-195,True,1,"Tuesday","T​","Weekday","FY2020","FQ1 2020"
20190814,2019-08-14 00:00:00.000,2019,-4,True,3,"Q3",8,"August",33,"W33 2019",201933,-195,True,2,"Wednesday","W​​","Weekday","FY2020","FQ1 2020"
20190815,2019-08-15 00:00:00.000,2019,-4,True,3,"Q3",8,"August",33,"W33 2019",201933,-195,True,3,"Thursday","T​​​","Weekday","FY2020","FQ1 2020"
