ProductKey,ProductAlternateKey,ProductSubcategoryKey,Weight Unit Measure Code,Size Unit Measure Code,English Product Name,Standard Cost,Finished Goods Flag,Color,Safety Stock Level,Reorder Point,List Price,Size,Size Range,Weight,Days To Manufacture,Product Line,Dealer Price,Class,Style,Model Name,English Description,Start Date,End Date,Status,ProductCategoryKey,Category,Subcategory
1,"AR-5381",-1,"","","Adjustable Race","",False,"NA",1000,750,"","","NA",,0,"","","","","","",1998-06-01 00:00:00.000,"","Current",-1,"Miscellaneous","Miscellaneous"
2,"BA-8327",-1,"","","Bearing Ball","",False,"NA",1000,750,"","","NA",,0,"","","","","","",1998-06-01 00:00:00.000,"","Current",-1,"Miscellaneous","Miscellaneous"
12,"CR-9981",-1,"","","Crown Race","",False,"NA",1000,750,"","","NA",,0,"","","","","","",1998-06-01 00:00:00.000,"","Current",-1,"Miscellaneous","Miscellaneous"
14,"DC-8732",-1,"","","Decal 1","",False,"NA",1000,750,"","","NA",,0,"","","","","","",1998-06-01 00:00:00.000,"","Current",-1,"Miscellaneous","Miscellaneous"
15,"DC-9824",-1,"","","Decal 2","",False,"NA",1000,750,"","","NA",,0,"","","","","","",1998-06-01 00:00:00.000,"","Current",-1,"Miscellaneous","Miscellaneous"
22,"FW-1000",-1,"","","Flat Washer 1","",False,"NA",1000,750,"","","NA",,0,"","","","","","",1998-06-01 00:00:00.000,"","Current",-1,"Miscellaneous","Miscellaneous"
23,"FW-1200",-1,"","","Flat Washer 6","",False,"NA",1000,750,"","","NA",,0,"","","","","","",1998-06-01 00:00:00.000,"","Current",-1,"Miscellaneous","Miscellaneous"
24,"FW-1400",-1,"","","Flat Washer 2","",False,"NA",1000,750,"","","NA",,0,"","","","","","",1998-06-01 00:00:00.000,"","Current",-1,"Miscellaneous","Miscellaneous"
25,"FW-3400",-1,"","","Flat Washer 9","",False,"NA",1000,750,"","","NA",,0,"","","","","","",1998-06-01 00:00:00.000,"","Current",-1,"Miscellaneous","Miscellaneous"
26,"FW-3800",-1,"","","Flat Washer 4","",False,"NA",1000,750,"","","NA",,0,"","","","","","",1998-06-01 00:00:00.000,"","Current",-1,"Miscellaneous","Miscellaneous"
27,"FW-5160",-1,"","","Flat Washer 3","",False,"NA",1000,750,"","","NA",,0,"","","","","","",1998-06-01 00:00:00.000,"","Current",-1,"Miscellaneous","Miscellaneous"
28,"FW-5800",-1,"","","Flat Washer 8","",False,"NA",1000,750,"","","NA",,0,"","","","","","",1998-06-01 00:00:00.000,"","Current",-1,"Miscellaneous","Miscellaneous"
29,"FW-7160",-1,"","","Flat Washer 5","",False,"NA",1000,750,"","","NA",,0,"","","","","","",1998-06-01 00:00:00.000,"","Current",-1,"Miscellaneous","Miscellaneous"
30,"FW-9160",-1,"","","Flat Washer 7","",False,"NA",1000,750,"","","NA",,0,"","","","","","",1998-06-01 00:00:00.000,"","Current",-1,"Miscellaneous","Miscellaneous"
38,"HJ-1213",-1,"","","Thin-Jam Hex Nut 9","",False,"NA",1000,750,"","","NA",,0,"","","","","","",1998-06-01 00:00:00.000,"","Current",-1,"Miscellaneous","Miscellaneous"
39,"HJ-1220",-1,"","","Thin-Jam Hex Nut 10","",False,"NA",1000,750,"","","NA",,0,"","","","","","",1998-06-01 00:00:00.000,"","Current",-1,"Miscellaneous","Miscellaneous"
40,"HJ-1420",-1,"","","Thin-Jam Hex Nut 1","",False,"NA",1000,750,"","","NA",,0,"","","","","","",1998-06-01 00:00:00.000,"","Current",-1,"Miscellaneous","Miscellaneous"
41,"HJ-1428",-1,"","","Thin-Jam Hex Nut 2","",False,"NA",1000,750,"","","NA",,0,"","","","","","",1998-06-01 00:00:00.000,"","Current",-1,"Miscellaneous","Miscellaneous"
42,"HJ-3410",-1,"","","Thin-Jam Hex Nut 15","",False,"NA",1000,750,"","","NA",,0,"","","","","","",1998-06-01 00:00:00.000,"","Current",-1,"Miscellaneous","Miscellaneous"
43,"HJ-3416",-1,"","","Thin-Jam Hex Nut 16","",False,"NA",1000,750,"","","NA",,0,"","","","","","",1998-06-01 00:00:00.000,"","Current",-1,"Miscellaneous","Miscellaneous"
44,"HJ-3816",-1,"","","Thin-Jam Hex Nut 5","",False,"NA",1000,750,"","","NA",,0,"","","","","","",1998-06-01 00:00:00.000,"","Current",-1,"Miscellaneous","Miscellaneous"
45,"HJ-3824",-1,"","","Thin-Jam Hex Nut 6","",False,"NA",1000,750,"","","NA",,0,"","","","","","",1998-06-01 00:00:00.000,"","Current",-1,"Miscellaneous","Miscellaneous"
46,"HJ-5161",-1,"","","Thin-Jam Hex Nut 3","",False,"NA",1000,750,"","","NA",,0,"","","","","","",1998-06-01 00:00:00.000,"","Current",-1,"Miscellaneous","Miscellaneous"
