Region,Month,Month Number,Key,Avg Temp,Temperature Range
"Northeast","Jan",1,"Northeast1",26.3,"Cold"
"Northeast","Feb",2,"Northeast2",25.4,"Cold"
"Northeast","Mar",3,"Northeast3",31.4,"Cold"
"Northeast","Apr",4,"Northeast4",48.1,"Cool"
"Northeast","May",5,"Northeast5",52.8,"Cool"
"Northeast","June",6,"Northeast6",66.8,"Warm"
"Northeast","Jul",7,"Northeast7",70.4,"Hot"
"Northeast","Aug",8,"Northeast8",66,"Warm"
"Northeast","Sep",9,"Northeast9",61.2,"Warm"
"Northeast","Oct",10,"Northeast10",47.2,"Cool"
"Northeast","Nov",11,"Northeast11",38.1,"Cold"
"Northeast","Dec",12,"Northeast12",28,"Cold"
"Central","Jan",1,"Central1",30.5,"Cold"
"Central","Feb",2,"Central2",31.9,"Cold"
"Central","Mar",3,"Central3",41.9,"Cool"
"Central","Apr",4,"Central4",53.4,"Cool"
"Central","May",5,"Central5",60.2,"Warm"
"Central","June",6,"Central6",73,"Hot"
"Central","Jul",7,"Central7",74.6,"Hot"
"Central","Aug",8,"Central8",72.4,"Hot"
"Central","Sep",9,"Central9",68,"Warm"
"Central","Oct",10,"Central10",54.5,"Cool"
"Central","Nov",11,"Central11",42.2,"Cool"
"Central","Dec",12,"Central12",32.3,"Cold"
"Southeast","Jan",1,"Southeast1",45,"Cool"
"Southeast","Feb",2,"Southeast2",50.6,"Cool"
"Southeast","Mar",3,"Southeast3",55,"Warm"
"Southeast","Apr",4,"Southeast4",62.1,"Warm"
"Southeast","May",5,"Southeast5",68.9,"Warm"
"Southeast","June",6,"Southeast6",78.4,"Hot"
"Southeast","Jul",7,"Southeast7",78.8,"Hot"
"Southeast","Aug",8,"Southeast8",77.8,"Hot"
"Southeast","Sep",9,"Southeast9",73.8,"Hot"
"Southeast","Oct",10,"Southeast10",62,"Warm"
"Southeast","Nov",11,"Southeast11",51.5,"Cool"
"Southeast","Dec",12,"Southeast12",50.7,"Cool"
"Southwest","Jan",1,"Southwest1",29.3,"Cold"
"Southwest","Feb",2,"Southwest2",36.1,"Cold"
"Southwest","Mar",3,"Southwest3",42.9,"Cool"
"Southwest","Apr",4,"Southwest4",49.4,"Cool"
"Southwest","May",5,"Southwest5",58.1,"Warm"
"Southwest","June",6,"Southwest6",69.8,"Warm"
"Southwest","Jul",7,"Southwest7",74.5,"Hot"
"Southwest","Aug",8,"Southwest8",72.5,"Hot"
"Southwest","Sep",9,"Southwest9",64.4,"Warm"
"Southwest","Oct",10,"Southwest10",54.1,"Cool"
"Southwest","Nov",11,"Southwest11",44.6,"Cool"
"Southwest","Dec",12,"Southwest12",33.3,"Cold"
"Northwest","Jan",1,"Northwest1",25.8,"Cold"
"Northwest","Feb",2,"Northwest2",33.7,"Cold"
"Northwest","Mar",3,"Northwest3",36.6,"Cold"
"Northwest","Apr",4,"Northwest4",41.1,"Cool"
"Northwest","May",5,"Northwest5",53.3,"Cool"
"Northwest","June",6,"Northwest6",58.3,"Warm"
"Northwest","Jul",7,"Northwest7",67.3,"Warm"
"Northwest","Aug",8,"Northwest8",66.1,"Warm"
"Northwest","Sep",9,"Northwest9",58,"Warm"
"Northwest","Oct",10,"Northwest10",47.6,"Cool"
"Northwest","Nov",11,"Northwest11",41,"Cool"
"Northwest","Dec",12,"Northwest12",27.5,"Cold"
"Germany","Jan",1,"Germany1",30.2,"Cold"
"Germany","Feb",2,"Germany2",33.8,"Cold"
"Germany","Mar",3,"Germany3",39.2,"Cold"
"Germany","Apr",4,"Germany4",46.4,"Cool"
"Germany","May",5,"Germany5",55.400000000000006,"Warm"
"Germany","June",6,"Germany6",62.6,"Warm"
"Germany","Jul",7,"Germany7",64.4,"Warm"
"Germany","Aug",8,"Germany8",62.6,"Warm"
"Germany","Sep",9,"Germany9",57.2,"Warm"
"Germany","Oct",10,"Germany10",46.4,"Cool"
"Germany","Nov",11,"Germany11",39.2,"Cold"
"Germany","Dec",12,"Germany12",33.8,"Cold"
"Canada","Jan",1,"Canada1",14,"Cold"
"Canada","Feb",2,"Canada2",15.8,"Cold"
"Canada","Mar",3,"Canada3",26.6,"Cold"
"Canada","Apr",4,"Canada4",42.8,"Cool"
